SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000177471381166:637000177471381166::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000178708385671:637000178708385671::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000178733218317:637000178733218317::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000178747275576:637000178747275576::
SwitchOn:Concessions:Concessions Front:Complete:RpiZero5:637000179758752155:637000179758752155::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000179884712346:637000179884712346::
SwitchOn:FrontGate:Gate Shack:Complete:RpiZero4:637000180137485532:637000180137485532::
SwitchOff:FrontGate:Gate Shack:Complete:RpiZero4:637000180192044464:637000180192044464::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000183207274101:637000183207274101::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000183208417482:637000183208417482::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000183211443595:637000183211443595::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000183217064584:637000183217064584::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000184186557995:637000184186557995::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000184188786175:637000184188786175::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000184189664160:637000184189664160::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000184190587935:637000184190587935::
Motion:Tower:Tower SE:Complete:RpiZero6:637000192112354100:637000192162640059:rpiZero6:/Surveillance\Tower-Tower SE-rpiZero6-20190729174651.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000195722495226:637000195782592254:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729175252.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000199234907382:637000199294952842:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729175843.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000199325008158:637000199415380827:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729175852.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000199495139462:637000199565164091:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729175909.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000199495856029:637000199575879094:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729175909.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000199596343991:637000199646245620:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729175919.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000199575223325:637000199675364362:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729175917.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000199725362802:637000199845483492:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729175932.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000221370479967:637000221470797205:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729183537.mp4
